event_name,GPS,mass_1_source,mass_2_source,total_mass,chirp_mass,distance_mpc,snr,false_alarm_rate,catalog,commonName,event_date,event_year,event_type,observing_run,mass_bin,distance_bin,mass_ratio,high_confidence
GRB051103-v1,815043278.0,,,,,,,,Initial_LIGO_Virgo,GRB051103,2005-11-03,2005,Unknown,Between runs,,,,False
blind_injection-v1,968654557.9,,,,,,,,Initial_LIGO_Virgo,blind_injection,2010-09-16,2010,Unknown,Between runs,,,,False
GW150914-v3,1126259462.4,35.6,30.6,,28.6,440.0,25.2,1e-07,GWTC-1-confident,GW150914,2015-09-14,2015,BBH,O1,,0–500 Mpc,0.8595505617977528,True
GW150914-v1,1126259462.4,,,,,,,,O1_O2-Preliminary,GW150914,2015-09-14,2015,Unknown,O1,,,,False
GW150914-v4,1126259462.4,34.6,30.0,64.5,27.9,470.0,26.0,,GWTC-2.1-confident,GW150914,2015-09-14,2015,BBH,O1,60–100,0–500 Mpc,0.8670520231213873,False
GW150914-v2,1126259462.4,,,,,,,,O1_O2-Preliminary,GW150914,2015-09-14,2015,Unknown,O1,,,,False
151008-v1,1128348574.5,,,,,,8.8,10.17,GWTC-1-marginal,151008,2015-10-08,2015,Unknown,O1,,,,False
151012.2-v1,1128666662.2,,,,,,9.6,8.56,GWTC-1-marginal,151012.2,2015-10-12,2015,Unknown,O1,,,,False
GW151012-v2,1128678900.4,,,,,,,,O1_O2-Preliminary,GW151012,2015-10-12,2015,Unknown,O1,,,,False
GW151012-v1,1128678900.4,,,,,,,,O1_O2-Preliminary,GW151012,2015-10-12,2015,Unknown,O1,,,,False
GW151012-v4,1128678900.4,24.8,13.6,38.8,15.6,1000.0,9.3,,GWTC-2.1-confident,GW151012,2015-10-12,2015,BBH,O1,20–40,500–1k,0.5483870967741935,False
GW151012-v3,1128678900.4,23.2,13.6,,15.2,1080.0,10.0,0.00792,GWTC-1-confident,GW151012,2015-10-12,2015,BBH,O1,,1k–2k,0.5862068965517241,False
151116-v1,1131748925.7,,,,,,9.0,4.77,GWTC-1-marginal,151116,2015-11-16,2015,Unknown,O1,,,,False
GW151226-v3,1135136350.6,14.2,7.5,21.7,8.9,460.0,12.7,,GWTC-2.1-confident,GW151226,2015-12-26,2015,BBH,O1,20–40,0–500 Mpc,0.5281690140845071,False
GW151226-v2,1135136350.6,13.7,7.7,,8.9,450.0,13.1,1e-07,GWTC-1-confident,GW151226,2015-12-26,2015,BBH,O1,,0–500 Mpc,0.562043795620438,True
GW151226-v1,1135136350.6,,,,,,,,O1_O2-Preliminary,GW151226,2015-12-26,2015,Unknown,O1,,,,False
161202-v1,1164686041.9,,,,,,10.5,6.0,GWTC-1-marginal,161202,2016-12-02,2016,Unknown,O2,,,,False
