event_name,commonName,version,catalog.shortName,GPS,reference,jsonurl,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_1_source_unit,mass_2_source,mass_2_source_lower,mass_2_source_upper,mass_2_source_unit,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,network_matched_filter_snr_unit,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,luminosity_distance_unit,chi_eff,chi_eff_lower,chi_eff_upper,chi_eff_unit,total_mass_source,total_mass_source_lower,total_mass_source_upper,total_mass_source_unit,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass_source_unit,chirp_mass,chirp_mass_lower,chirp_mass_upper,chirp_mass_unit,redshift,redshift_lower,redshift_upper,redshift_unit,far,far_lower,far_upper,far_unit,p_astro,p_astro_lower,p_astro_upper,p_astro_unit,final_mass_source,final_mass_source_lower,final_mass_source_upper,final_mass_source_unit
GW250207_115645-v1,GW250207_115645,1,O4_Discovery_Papers,1422964623.3,/o4_eventdata_docs/,https://gwosc.org/eventapi/json/O4_Discovery_Papers/GW250207_115645/v1,35.2,-1.7,1.7,M_sun,30.6,-1.8,1.5,M_sun,68.91,-0.11,0.08,,187.0,-52.0,121.0,Mpc,0.0,-0.04,0.03,,65.9,-1.7,1.0,M_sun,28.57,-0.77,0.44,M_sun,,,,,0.04,-0.01,0.03,,1e-05,,,1/yr,,,,,62.7,-1.6,1.0,M_sun
GW250114_082203-v1,GW250114_082203,1,O4_Discovery_Papers,1420878141.2,/o4_eventdata_docs/,https://gwosc.org/eventapi/json/O4_Discovery_Papers/GW250114_082203/v1,33.6,-0.8,1.2,M_sun,32.2,-1.3,0.8,M_sun,,,,,403.0,-70.0,74.0,Mpc,-0.03,-0.04,0.03,,65.8,-1.2,1.1,M_sun,28.6,-0.5,0.5,M_sun,,,,,0.09,-0.01,0.01,,,,,,,,,,62.7,-1.1,1.0,M_sun
GW241110_124123-v1,GW241110_124123,1,O4_Discovery_Papers,1415277701.7,/o4_eventdata_docs/,https://gwosc.org/eventapi/json/O4_Discovery_Papers/GW241110_124123/v1,17.2,-4.4,5.0,M_sun,7.7,-1.5,2.2,M_sun,,,,,736.0,-267.0,270.0,Mpc,-0.28,-0.2,0.23,,,,,,9.8,-0.4,0.5,M_sun,,,,,,,,,0.00063,,,1/yr,,,,,,,,
GW241011_233834-v1,GW241011_233834,1,O4_Discovery_Papers,1412725132.9,/o4_eventdata_docs/,https://gwosc.org/eventapi/json/O4_Discovery_Papers/GW241011_233834/v1,19.6,-2.5,3.6,M_sun,5.9,-0.8,0.8,M_sun,,,,,214.0,-48.0,44.0,Mpc,0.49,-0.07,0.06,,,,,,9.1,-0.1,0.1,M_sun,,,,,,,,,1e-05,,,1/yr,,,,,,,,
GW240925_005809-v1,GW240925_005809,1,O4_Discovery_Papers,1411261108.0,/o4_eventdata_docs/,https://gwosc.org/eventapi/json/O4_Discovery_Papers/GW240925_005809/v1,9.0,-1.0,2.0,M_sun,7.0,-1.3,0.8,M_sun,31.96,-0.15,0.11,,356.0,-162.0,61.0,Mpc,0.02,-0.02,0.08,,16.1,-0.4,0.7,M_sun,6.85,-0.08,0.22,M_sun,,,,,0.08,-0.03,0.01,,1e-05,,,1/yr,,,,,15.3,-0.4,0.7,M_sun
GW240109_050431-v1,GW240109_050431,1,GWTC-4.0,1388811889.8,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW240109_050431/v1,28.7,-6.1,7.5,M_sun,18.1,-4.1,4.8,M_sun,10.4,,,,1500.0,-770.0,1020.0,Mpc,-0.07,-0.23,0.2,,47.1,-5.8,6.7,M_sun,19.7,-2.2,2.7,M_sun,,,,,0.28,-0.14,0.16,,0.00022999999999999998,,,1/yr,0.99,,,,45.2,-5.5,6.4,M_sun
GW240107_013215-v1,GW240107_013215,1,GWTC-4.0,1388626353.7,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW240107_013215/v1,59.0,-17.0,27.0,M_sun,33.0,-17.0,20.0,M_sun,9.6,,,,5800.0,-3300.0,4900.0,Mpc,0.32,-0.38,0.29,,92.0,-20.0,30.0,M_sun,36.7,-9.9,14.3,M_sun,,,,,0.88,-0.44,0.56,,0.028,,,1/yr,0.99,,,,87.0,-19.0,29.0,M_sun
GW240105_151143-v1,GW240105_151143,1,GWTC-4.0,1388502721.2,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW240105_151143/v1,,,,,,,,,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,1/yr,0.7,,,,,,,
GW240104_164932-v1,GW240104_164932,1,GWTC-4.0,1388422190.6,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW240104_164932/v1,42.3,-6.8,9.4,M_sun,32.2,-8.2,7.5,M_sun,14.8,,,,1910.0,-970.0,1120.0,Mpc,0.09,-0.2,0.19,,74.3,-8.5,11.4,M_sun,31.8,-4.0,5.1,M_sun,,,,,0.35,-0.16,0.17,,1e-05,,,1/yr,0.99,,,,70.7,-8.1,10.7,M_sun
GW231231_154016-v1,GW231231_154016,1,GWTC-4.0,1388072434.7,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW231231_154016/v1,22.5,-3.2,5.5,M_sun,17.2,-3.2,2.9,M_sun,13.4,,,,1070.0,-530.0,590.0,Mpc,-0.03,-0.12,0.12,,39.9,-3.4,4.1,M_sun,17.1,-1.3,1.6,M_sun,,,,,0.21,-0.1,0.1,,1e-05,,,1/yr,0.99,,,,38.1,-3.3,4.0,M_sun
